x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-6.0291,-7.7735,24.2047,7,1,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,0
-12.2835,-15.1355,48.4325,7,2,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,1
-18.526,-22.5076,72.6603,7,3,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,2
-24.7566,-29.8898,96.888,7,4,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,3
-30.9753,-37.2821,121.1158,7,5,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,4
-37.1819,-44.6844,145.3436,7,6,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,5
-43.3766,-52.0968,169.5713,7,7,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,6
-49.5593,-59.5192,193.7991,7,8,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,7
-55.9425,-67.208,218.8623,7,9,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,8
-62.1007,-74.6507,243.0901,7,10,T0,-2.2775,1.6502,-1,69.4451,0.4541,-0.4407,9
5.8658,7.8053,35.9886,1,1,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,10
11.5859,15.7153,72.0146,1,2,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,11
17.3183,23.6165,108.0406,1,3,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,12
23.063,31.5087,144.0667,1,4,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,13
28.8894,39.487,180.5267,1,5,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,14
34.6588,47.3612,216.5527,1,6,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,15
40.4404,55.2264,252.5788,1,7,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,16
46.2342,63.0827,288.6048,1,8,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,17
52.0403,70.9299,324.6308,1,9,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,18
57.8585,78.7681,360.6568,1,10,T1,0.947,2.0168,1,73.0069,-0.1946,-0.0374,19
1.6358,9.8456,-9.5462,2,1,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,20
3.1341,19.0395,-18.0183,2,2,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,21
4.7274,28.8921,-27.0954,2,3,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,22
6.2033,38.0896,-35.5675,2,4,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,23
7.7725,47.9461,-44.6446,2,5,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,24
9.3293,57.8045,-53.7218,2,6,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,25
10.771,67.0074,-62.1938,2,7,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,26
12.3037,76.8696,-71.271,2,8,T2,1.4074,-0.8159,-1,91.8386,-0.0187,-0.4691,27
