x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-9.7994,-0.0326,15.0187,6,1,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,0
-19.8469,-0.2172,29.9379,6,2,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,1
-29.8947,-0.3818,44.8571,6,3,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,2
-39.9428,-0.5264,59.7763,6,4,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,3
-49.9912,-0.651,74.6955,6,5,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,4
-59.7885,-0.7531,89.2417,6,6,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,5
-69.5861,-0.8363,103.7879,6,7,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,6
-79.635,-0.9018,118.7071,6,8,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,7
-89.6841,-0.9473,133.6263,6,9,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,8
-99.7332,-0.9728,148.5455,6,10,T0,-3.1203,1.1862,1,58.6725,-0.1667,0.4725,9
-8.3076,5.2551,-33.5591,4,1,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,10
-16.7175,10.587,-67.1926,4,2,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,11
-25.1417,15.8963,-100.8261,4,3,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,12
-33.5801,21.183,-134.4596,4,4,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,13
-41.9241,26.3797,-167.6619,4,5,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,14
-50.2819,31.5543,-200.8642,4,6,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,15
-58.7622,36.7736,-234.4977,4,7,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,16
-67.2565,41.97,-268.1312,4,8,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,17
-75.7646,47.1437,-301.7646,4,9,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,18
-84.2866,52.2946,-335.3981,4,10,T1,2.5726,-1.9315,-1,43.1969,0.0362,-0.3568,19
-8.7356,4.7324,-16.9179,5,1,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,20
-17.6866,9.0179,-34.036,5,2,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,21
-26.4417,13.1903,-50.7651,5,3,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,22
-35.408,17.4439,-67.8832,5,4,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,23
-44.1778,21.5851,-84.6123,5,5,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,24
-53.1592,25.8067,-101.7305,5,6,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,25
-61.9437,29.9167,-118.4596,5,7,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,26
-70.9401,34.1063,-135.5777,5,8,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,27
-79.7392,38.1849,-152.3068,5,9,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,28
-88.7504,42.3424,-169.4249,5,10,T2,2.6924,-1.3134,-1,64.0808,-0.4783,0.2003,29
3.8897,-9.0133,-42.4594,9,1,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,30
7.5349,-18.0168,-84.5236,9,2,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,31
11.1689,-27.0248,-126.5879,9,3,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,32
14.7919,-36.0373,-168.6521,9,4,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,33
18.4037,-45.0543,-210.7164,9,5,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,34
22.0044,-54.0757,-252.7806,9,6,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,35
25.594,-63.1016,-294.8449,9,7,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,36
29.1724,-72.1318,-336.9091,9,8,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,37
32.7397,-81.1665,-378.9734,9,9,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,38
36.2959,-90.2056,-421.0376,9,10,T3,-1.1842,-2.1719,1,91.6196,0.2109,0.043,39
5.5457,-8.0919,10.2291,10,1,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,40
11.331,-16.0095,20.7612,10,2,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,41
17.1287,-23.9181,31.2932,10,3,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,42
22.9389,-31.8174,41.8253,10,4,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,43
28.7616,-39.7076,52.3574,10,5,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,44
34.5968,-47.5886,62.8894,10,6,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,45
40.4443,-55.4604,73.4215,10,7,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,46
46.1211,-63.0773,83.6245,10,8,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,47
51.9931,-70.9308,94.1565,10,9,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,48
57.8775,-78.775,104.6886,10,10,T4,-0.9421,0.9328,-1,72.212,-0.2807,-0.303,49
-6.2655,-7.0145,7.1871,7,1,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,50
-13.3528,-14.2372,14.6804,7,2,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,51
-19.9493,-20.929,21.6385,7,3,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,52
-26.815,-27.8627,28.8641,7,4,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,53
-33.6966,-34.7807,36.0898,7,5,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,54
-40.3382,-41.4276,43.0479,7,6,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,55
-47.2508,-48.3146,50.2736,7,7,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,56
-54.1791,-55.1858,57.4993,7,8,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,57
-60.8657,-61.7874,64.4573,7,9,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,58
-68.0828,-68.8804,71.9506,7,10,T5,-2.3433,0.6855,1,49.6017,0.4193,0.229,59
-5.1949,8.4724,-32.1528,4,1,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,60
-10.1788,17.2183,-64.343,4,2,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,61
-15.1139,25.8375,-96.1041,4,3,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,62
-20.0665,34.4467,-127.8652,4,4,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,63
-25.1038,43.162,-160.0554,4,5,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,64
-30.1592,51.8668,-192.2457,4,6,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,65
-35.1647,60.4453,-224.0068,4,7,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,66
-40.1876,69.0137,-255.7678,4,8,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,67
-45.2962,77.6873,-287.9581,4,9,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,68
-50.3541,86.2351,-319.7192,4,10,T6,2.0857,-1.8792,-1,56.8256,0.339,-0.3917,69
-7.9553,5.6433,-17.3404,4,1,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,70
-15.8421,11.3813,-34.5564,4,2,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,71
-23.7173,17.1352,-51.7724,4,3,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,72
-31.5809,22.905,-68.9884,4,4,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,73
-39.6112,28.8222,-86.5957,4,5,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,74
-47.4512,34.624,-103.8117,4,6,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,75
-55.2795,40.4416,-121.0277,4,7,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,76
-63.0961,46.2749,-138.2437,4,8,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,77
-70.9008,52.124,-155.4597,4,9,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,78
-78.6938,57.9888,-172.6757,4,10,T7,2.5156,-1.3334,1,56.2818,0.0973,-0.1244,79
-9.7041,0.9581,33.6929,5,1,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,80
-19.5475,1.7546,67.3506,5,2,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,81
-29.3886,2.5786,101.0083,5,3,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,82
-38.9751,3.4079,133.8029,5,4,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,83
-48.8116,4.2861,167.4606,5,5,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,84
-58.6455,5.1917,201.1183,5,6,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,85
-68.4769,6.1248,234.776,5,7,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,86
-78.0536,7.0603,267.5707,5,8,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,87
-87.8797,8.0475,301.2284,5,9,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,88
-97.4512,9.0357,334.0231,5,10,T8,3.065,1.9402,1,41.1801,-0.1992,0.4667,89
-3.6267,9.001,50.3532,3,1,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,90
-7.5779,17.9546,100.6762,3,2,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,91
-11.5672,26.8913,150.9991,3,3,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,92
-15.5948,35.8108,201.3221,3,4,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,93
-19.6603,44.7131,251.6451,3,5,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,94
-23.7639,53.5979,301.968,3,6,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,95
-27.9054,62.4651,352.291,3,7,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,96
-32.1216,71.3921,403.0554,3,8,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,97
-36.3763,80.3008,453.8198,3,9,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,98
-40.6318,89.1139,504.1428,3,10,T9,1.98,2.3399,-1,26.6418,-0.2747,0.4717,99
3.3144,-8.8438,-0.1378,9,1,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,100
6.6791,-18.1471,-0.2146,9,2,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,101
10.0697,-27.441,-0.2914,9,3,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,102
13.4861,-36.7255,-0.3682,9,4,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,103
16.7712,-45.579,-0.4415,9,5,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,104
20.0797,-54.4239,-0.5148,9,6,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,105
23.5709,-63.6804,-0.5916,9,7,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,106
27.0879,-72.9273,-0.6684,9,8,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,107
30.4689,-81.7446,-0.7417,9,9,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,108
34.036,-90.9722,-0.8185,9,10,T10,-1.2278,-0.0078,-1,41.4407,0.1346,-0.0645,109
-3.4389,-9.0087,-41.1948,8,1,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,110
-7.4016,-18.0144,-82.7679,8,2,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,111
-11.3791,-27.0136,-124.3409,8,3,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,112
-15.3291,-35.9117,-165.4764,8,4,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,113
-19.2934,-44.8035,-206.6118,8,5,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,114
-23.272,-53.6888,-247.7473,8,6,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,115
-27.3075,-62.6622,-289.3204,8,7,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,116
-31.3576,-71.6289,-330.8934,8,8,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,117
-35.3794,-80.4948,-372.0289,8,9,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,118
-39.4586,-89.4484,-413.602,8,10,T11,-1.9829,-2.148,1,70.2856,0.4652,-0.4969,119
-1.564,-9.4179,18.4913,8,1,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,120
-3.3697,-19.2126,37.6418,8,2,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,121
-5.0795,-28.603,55.9943,8,3,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,122
-6.8058,-38.2012,74.7458,8,4,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,123
-8.5111,-47.8032,93.4973,8,5,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,124
-10.1598,-57.2045,111.8499,8,6,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,125
-11.8235,-66.8138,130.6014,8,7,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,126
-13.4662,-76.4267,149.3529,8,8,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,127
-15.0535,-85.8386,167.7054,8,9,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,128
-16.6885,-95.6632,186.8559,8,10,T12,-1.7564,1.4086,-1,51.8694,0.1901,0.1388,129
5.2252,8.064,-6.2479,1,1,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,130
10.5807,16.9148,-13.4263,1,2,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,131
15.5191,25.1543,-20.0919,1,3,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,132
20.8,34.0498,-27.2702,1,4,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,133
25.6689,42.3304,-33.9358,1,5,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,134
30.8748,51.27,-41.1141,1,6,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,135
35.6739,59.5914,-47.7797,1,7,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,136
40.8045,68.5744,-54.9581,1,8,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,137
45.7147,77.2577,-61.88,1,9,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,138
50.5883,85.9617,-68.802,1,10,T13,1.0204,-0.6477,-1,27.5988,-0.2555,0.4177,139
-6.0524,7.5524,2.3288,4,1,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,140
-12.1298,15.0843,4.3817,4,2,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,141
-18.1829,22.6357,6.4346,4,3,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,142
-24.4851,30.5512,8.5809,4,4,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,143
-30.4882,38.1423,10.6338,4,5,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,144
-36.4669,45.7528,12.6867,4,6,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,145
-42.421,53.3825,14.7396,4,7,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,146
-48.3505,61.0314,16.7925,4,8,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,147
-54.2553,68.6993,18.8454,4,9,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,148
-60.1354,76.3862,20.8983,4,10,T14,2.2546,0.2106,1,34.9361,-0.0634,0.2759,149
1.3431,9.7103,-32.7256,2,1,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,150
2.874,19.2626,-65.505,2,2,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,151
4.4403,28.8093,-98.2844,2,3,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,152
6.0417,38.35,-131.0638,2,4,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,153
7.6783,47.8848,-163.8432,2,5,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,154
9.35,57.4135,-196.6226,2,6,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,155
11.057,66.936,-229.402,2,7,T15,1.4175,-1.9346,1,30.504,0.1742,0.4851,156
