Source,Target,weight
0,1,1
0,611,0
0,961,0
0,1091,0
0,2101,0
0,2841,0
0,2911,0
0,4041,0
0,4181,0
0,4751,0
0,4981,0
0,5421,0
0,5871,0
0,6401,0
0,6751,0
0,7321,0
0,7911,0
0,8501,0
0,8631,0
0,8711,0
0,9001,0
10,11,1
10,591,0
10,1651,0
10,1701,0
10,2931,0
10,2971,0
10,3011,0
10,3921,0
10,4321,0
10,4871,0
10,5491,0
10,5561,0
10,5951,0
10,6861,0
10,7511,0
10,7781,0
10,8091,0
10,8551,0
10,8641,0
10,8861,0
10,9031,0
10,9201,0
10,9561,0
10,9741,0
10,9781,0
20,21,1
20,231,0
20,491,0
20,751,0
20,911,0
20,1211,0
20,1341,0
20,1401,0
20,1491,0
20,1511,0
20,1951,0
20,2181,0
20,2741,0
20,2921,0
20,3661,0
20,4021,0
20,4451,0
20,5141,0
20,5301,0
20,5941,0
20,6211,0
20,6891,0
20,7031,0
20,7081,0
20,7351,0
20,7671,0
20,7841,0
20,8141,0
20,8421,0
20,8681,0
20,8691,0
20,8741,0
20,8901,0
20,9161,0
20,9551,0
20,9731,0
20,9751,0
30,31,1
30,341,0
30,381,0
30,621,0
30,811,0
30,1781,0
30,2201,0
30,2241,0
30,2411,0
30,2761,0
30,3561,0
30,3751,0
30,3971,0
30,4001,0
30,4081,0
30,4901,0
30,5471,0
30,6201,0
30,6381,0
30,6581,0
30,6651,0
30,6971,0
30,8181,0
30,8231,0
30,8301,0
30,8441,0
30,8521,0
30,8591,0
30,8601,0
30,9061,0
30,9141,0
30,9171,0
30,9301,0
30,9541,0
30,9721,0
30,9901,0
30,9961,0
40,41,1
40,1151,0
40,1271,0
40,1721,0
40,1871,0
40,2421,0
40,3111,0
40,3301,0
40,3551,0
40,3791,0
40,3981,0
40,4301,0
40,4311,0
40,4391,0
40,5371,0
40,5441,0
40,5451,0
40,5511,0
40,5551,0
40,6531,0
40,7101,0
40,7251,0
40,7361,0
40,7571,0
40,7741,0
40,7831,0
40,8571,0
40,8651,0
40,8841,0
40,9661,0
40,9821,0
40,9881,0
50,51,1
50,91,0
50,461,0
50,691,0
50,721,0
50,3071,0
50,3151,0
50,3511,0
50,3631,0
50,4171,0
50,4431,0
50,4481,0
50,4731,0
50,4851,0
50,5431,0
50,6291,0
50,6521,0
50,6991,0
50,7041,0
50,7291,0
50,7971,0
50,9311,0
50,9381,0
50,9471,0
60,61,1
60,221,0
60,521,0
60,1611,0
60,2311,0
60,2721,0
60,2801,0
60,3261,0
60,3331,0
60,3941,0
60,4511,0
