Source,S_X,S_Y,S_Z,s_phi,s_eta,s_q,s_pt,s_d0,s_z0,Target,T_X,T_Y,T_Z,t_phi,t_eta,t_q,t_pt,t_d0,t_z0,weight
0,-0.112,-9.9682,-6.3331,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,1,-0.4144,-19.8918,-12.6639,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,1
0,-0.112,-9.9682,-6.3331,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,321,1.3814,-19.6331,-57.4338,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,1
0,-0.112,-9.9682,-6.3331,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,441,-0.5537,-19.8541,41.869,-1.6112,1.4815,1,90.8681,0.273,0.4382,1
10,9.4387,-2.0964,-11.5232,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,11,18.8862,-4.1516,-23.148,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,1
10,9.4387,-2.0964,-11.5232,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,451,19.1501,-3.1608,16.2777,-0.1597,0.7792,1,72.0502,-0.0449,-0.4227,1
10,9.4387,-2.0964,-11.5232,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,491,18.5421,-5.4287,48.5565,-0.2833,1.6506,-1,97.0001,-0.0522,0.0797,1
20,-8.3885,-5.2684,11.9818,-2.6051,1.043,1,95.3282,0.2467,-0.3234,21,-16.9658,-10.348,24.3688,-2.6051,1.043,1,95.3282,0.2467,-0.3234,1
30,-6.6092,7.0599,10.4711,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,31,-13.3051,14.0084,20.9974,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,1
30,-6.6092,7.0599,10.4711,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,201,-12.4312,14.8866,-64.5779,2.2461,-1.9173,1,96.7588,0.4194,-0.0483,1
40,-1.4199,-9.6283,3.2918,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,41,-2.7009,-19.2888,7.037,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,1
