x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-9.5438,-1.2131,-5.4452,6,1,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,0
-19.0451,-2.7015,-11.2678,6,2,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,1
-28.9242,-4.2642,-17.3234,6,3,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,2
-38.421,-5.781,-23.146,6,4,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,3
-47.9156,-7.3118,-28.9687,6,5,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,4
-57.7875,-8.9186,-35.0243,6,6,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,5
-67.2775,-10.4779,-40.8469,6,7,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,6
-76.7651,-12.0511,-46.6696,6,8,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,7
-86.2504,-13.6382,-52.4922,6,9,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,8
-95.7334,-15.2394,-58.3149,6,10,T0,-2.9884,-0.5735,-1,76.1048,-0.2644,0.3775,9
-9.3131,3.1242,20.4011,5,1,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,10
-18.2742,6.0611,39.8178,5,2,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,11
-27.6125,9.1088,60.0436,5,3,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,12
-36.7678,12.0841,79.8649,5,4,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,13
-45.9267,15.048,99.6862,5,5,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,14
-55.2763,18.0607,119.912,5,6,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,15
-64.2556,20.9418,139.3288,5,7,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,16
-73.6127,23.9313,159.5546,5,8,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,17
-82.7863,26.8494,179.3758,5,9,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,18
-91.9635,29.7563,199.1971,5,10,T1,2.823,1.4697,-1,90.2554,-0.0562,0.1753,19
-8.5096,-5.3041,-3.552,7,1,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,20
-16.4721,-10.6755,-7.3894,7,2,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,21
-24.7627,-16.307,-11.3938,7,3,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,22
-32.6905,-21.7294,-15.2312,7,4,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,23
-40.9449,-27.414,-19.2356,7,5,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,24
-48.8378,-32.887,-23.073,7,6,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,25
-57.0556,-38.6244,-27.0773,7,7,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,26
-64.9132,-44.1479,-30.9148,7,8,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,27
-73.0941,-49.9378,-34.9191,7,9,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,28
-80.9162,-55.5116,-38.7566,7,10,T2,-2.553,-0.3896,-1,35.6217,-0.3298,0.4524,29
-5.5815,7.9738,23.8093,4,1,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,30
-11.2562,16.0907,47.9384,4,2,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,31
-16.9481,24.1956,72.0676,4,3,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,32
-22.4599,32.0097,95.3647,4,4,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,33
-28.1853,40.0909,119.4938,4,5,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,34
-33.9278,48.1601,143.6229,4,6,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,35
-39.4883,55.9394,166.92,4,7,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,36
-45.2642,63.9847,191.0491,4,8,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,37
-51.057,72.0178,215.1782,4,9,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,38
-56.6661,79.7622,238.4753,4,10,T3,2.1778,1.6233,-1,54.6158,0.0258,0.0962,39
-5.3674,8.0427,9.757,4,1,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,40
-11.1426,16.1906,19.4833,4,2,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,41
-16.9072,24.346,29.2097,4,3,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,42
-22.4756,32.2455,38.6223,4,4,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,43
-28.034,40.1521,48.0348,4,5,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,44
-33.5823,48.0658,57.4474,4,6,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,45
-39.3051,56.2506,67.1738,4,7,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,46
-45.0171,64.4429,76.9001,4,8,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,47
-50.5345,72.3781,86.3127,4,9,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,48
-56.042,80.3203,95.7253,4,10,T4,2.1893,0.8628,1,88.5492,-0.2845,0.3444,49
8.9813,-3.7126,3.6657,11,1,T5,-0.3523,0.359,-1,83.5444,-0.3921,0.1046,50
