x,y,z,N_side,N_layer,t_label,p_label,phi,eta,q,pt,d0,z0
7.8855737378325585,-5.815899573065292,-29.59588687288692,10,1,T0,P37,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
14.314993655220661,-12.938172670966372,-70.4851936044954,10,2,T0,P38,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
20.758943270859977,-20.04730256894258,-111.37450033610389,10,3,T0,P39,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
27.2173957171163,-27.14325962593251,-152.26380706771238,10,4,T0,P40,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
33.690324065885896,-34.22601425579868,-193.15311379932086,10,5,T0,P41,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
40.40964493737847,-41.54778888323343,-235.5027529142011,10,6,T0,P42,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
47.144465821536414,-48.855308594280466,-277.8523920290813,10,7,T0,P43,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
53.6616868642076,-55.89732850593655,-318.7416987606898,10,8,T0,P44,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
60.19327355161755,-62.92602610222328,-359.6310054922983,10,9,T0,P45,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
66.73919865073384,-69.94137207743724,-400.5203122239067,10,10,T0,P46,-0.8395432537878333,-2.1562626742420026,-1,54.65824078162495,0.01975829752463032,0.11293419858721565
-3.2511047432820237,-9.279946965104493,30.861500858965627,8,1,T1,P122,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-6.690588568028904,-18.49008093218868,74.77440442499102,8,2,T1,P123,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-9.915472374811445,-27.080702563362355,115.75978108661472,8,3,T1,P124,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-13.386443624925848,-36.27901628127876,159.67268465264013,8,4,T1,P125,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-16.873685558376533,-45.47117382833587,203.5855882186655,8,5,T1,P126,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-20.377187256546936,-54.65714642372586,247.49849178469086,8,6,T1,P127,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-23.896937749911228,-63.83690530600557,291.4113953507163,8,7,T1,P128,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-27.19668851334249,-72.39904875706189,332.39677201234,8,8,T1,P129,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-30.747822050272024,-81.56671297840187,376.3096755783654,8,9,T1,P130,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-34.315171911754334,-90.72807923230256,420.2225791443907,8,10,T1,P131,-1.9255493196410844,2.2020747799464444,1,64.62817677688712,0.0018352874120065588,-0.13051402707059767
-4.470150008727523,8.882767617512206,-17.96778375569041,3,1,T2,P353,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-15.072475429225276,12.283253351356814,3.293148227839077,4,2,T2,P354,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-25.008039730369248,15.484013284677616,23.225271962397976,4,3,T2,P355,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-34.939652805143304,18.69701248571875,43.157395696956854,5,4,T2,P356,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-44.20555589125962,21.70692473369953,61.76071118254517,5,5,T2,P357,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-53.467976039750994,24.727538038092625,80.36402666813348,5,6,T2,P358,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-62.726900892127624,27.758848368608056,98.96734215372176,5,7,T2,P359,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-71.98231809456387,30.800851680687003,117.57065763931006,5,8,T2,P360,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-81.23421529791428,33.85354391549995,136.17397312489834,5,9,T2,P361,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
-90.48258015772889,36.91692099995974,154.77728861048666,5,10,T2,P362,2.8327057512480724,1.4024137709483262,1,98.10685186813475,-0.07100502933025465,-0.31255866245396335
8.335362168902968,5.214154957942287,14.121908912720901,1,1,T3,P433,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
19.46877921794125,2.3922164655945526,-16.814856646390737,0,2,T3,P434,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
29.593840265098102,-0.15825193738928586,-44.93918897285585,11,3,T3,P435,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
39.722458431356756,-2.6945571882224684,-73.06352129932097,11,4,T3,P436,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
48.84123974358661,-4.965118318005937,-98.37542039313959,11,5,T3,P437,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
57.962871827362605,-7.224199678334409,-123.68731948695819,11,6,T3,P438,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
67.08734023063857,-9.471797689984491,-148.9992185807768,11,7,T3,P439,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
77.22894742073908,-11.955656358462472,-177.12355090724196,11,8,T3,P440,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
86.3593561296245,-14.179000073020745,-202.43545000106053,11,9,T3,P441,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
95.49255616745245,-16.39084941991885,-227.74734909487916,11,10,T3,P442,-0.24990969058174084,-1.7168105433111953,-1,86.83994922150765,0.07110472064581608,0.3240272492492323
-5.689881286410772,7.724792902148094,7.778793450805818,4,1,T4,P497,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-7.233996028784419,18.146784766412168,60.741019799716625,3,2,T4,P498,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-8.630921196254247,27.703002190018953,109.28972728621822,3,3,T4,P499,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-10.01007682772936,37.26180028993346,157.83843477271978,3,4,T4,P500,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-11.371534170876943,46.82313520058104,206.3871422592213,3,5,T4,P501,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-12.755672640741764,56.67683455284969,256.4070226998593,3,6,T4,P502,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-14.081067570843706,66.24323511157729,304.9557301863609,3,7,T4,P503,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
-15.388750230531912,75.81207294238644,353.5044376728625,3,8,T4,P504,1.7205278901569319,2.317700507822645,1,60.551432814011655,0.04480849562607214,-0.34885222219150114
