x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-8.4175,-5.0043,-6.0808,7,1,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,0
-16.6028,-10.3651,-12.4816,7,2,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,1
-25.093,-15.9472,-19.1285,7,3,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,2
-33.2591,-21.3373,-25.5293,7,4,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,3
-41.4157,-26.7416,-31.9301,7,5,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,4
-49.8759,-32.369,-38.577,7,6,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,5
-58.0131,-37.8025,-44.9778,7,7,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,6
-66.1408,-43.2503,-51.3785,7,8,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,7
-74.2589,-48.7124,-57.7793,7,9,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,8
-82.3673,-54.1887,-64.1801,7,10,T0,-2.5644,-0.6147,-1,64.8154,-0.4082,0.32,9
-9.1959,-3.2909,1.7628,6,1,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,10
-18.2161,-7.0009,3.4211,6,2,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,11
-27.252,-10.6724,5.0793,6,3,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,12
-35.8916,-14.1413,6.6623,6,4,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,13
-44.9577,-17.7376,8.3205,6,5,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,14
-54.039,-21.2953,9.9788,6,6,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,15
-63.1354,-24.8143,11.6371,6,7,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,16
-72.2467,-28.2947,13.2954,6,8,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,17
-81.3727,-31.7362,14.9537,6,9,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,18
-90.5132,-35.1389,16.612,6,10,T1,-2.745,0.1692,1,26.6689,-0.4958,0.1045,19
1.4155,9.832,15.5177,2,1,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,20
3.2094,19.3472,30.6773,2,2,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,21
5.0149,28.8601,45.8368,2,3,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,22
6.832,38.3708,60.9964,2,4,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,23
8.6607,47.8793,76.1559,2,5,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,24
10.501,57.3856,91.3155,2,6,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,25
12.3528,66.8896,106.475,2,7,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,26
14.2163,76.3914,121.6346,2,8,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,27
16.0914,85.8909,136.7941,2,9,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,28
17.978,95.3881,151.9537,2,10,T2,1.3863,1.2306,1,92.3456,0.4183,-0.0208,29
-2.4969,-9.3276,-8.074,8,1,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,30
-4.724,-18.72,-16.1593,8,2,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,31
-6.9328,-28.1167,-24.2445,8,3,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,32
-9.1235,-37.5176,-32.3298,8,4,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,33
-11.296,-46.9227,-40.415,8,5,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,34
-13.4503,-56.3321,-48.5003,8,6,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,35
-15.5864,-65.7456,-56.5856,8,7,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,36
-17.7043,-75.1632,-64.6708,8,8,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,37
-19.804,-84.5848,-72.7561,8,9,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,38
-21.8855,-94.0105,-80.8413,8,10,T3,-1.8065,-0.7618,-1,58.0671,-0.2589,0.0112,39
-1.5712,9.478,2.5333,3,1,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,40
-2.7313,19.444,5.0457,3,2,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,41
-3.8271,28.9783,7.4489,3,3,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,42
-4.9096,38.5142,9.852,3,4,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,43
-6.0269,48.485,12.3645,3,5,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,44
-7.082,58.024,14.7676,3,6,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,45
-8.1707,67.998,17.28,3,7,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,46
-9.1984,77.5399,19.6832,3,8,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,47
-10.2126,87.0832,22.0864,3,9,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,48
-11.2586,97.0619,24.5988,3,10,T4,1.6888,0.2479,1,79.4663,0.4511,0.1301,49
7.1202,6.4934,48.0941,1,1,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,50
14.1339,13.2257,97.0549,1,2,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,51
21.0636,19.9188,145.5746,1,3,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,52
27.9726,26.6334,194.0943,1,4,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,53
34.9234,33.4307,243.0551,1,5,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,54
41.7905,40.1881,291.5749,1,6,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,55
48.6368,46.9667,340.0946,1,7,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,56
55.462,53.7664,388.6143,1,8,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,57
62.3279,60.6493,437.5751,1,9,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,58
69.1107,67.4914,486.0948,1,10,T5,0.7603,2.3195,-1,36.2349,-0.2162,-0.4256,59
9.9741,0.2615,-25.6675,0,1,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,60
19.7851,0.5038,-50.8015,0,2,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,61
29.76,0.7318,-76.3543,0,3,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,62
39.7354,0.9415,-101.9071,0,4,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,63
49.7111,1.1327,-127.4599,0,5,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,64
59.6871,1.3055,-153.0127,0,6,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,65
69.4999,1.4575,-178.1466,0,7,T6,0.0274,-1.6697,1,62.8644,-0.0031,-0.1147,66
