x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-6.136,7.6332,7.5177,4,1,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,0
-12.434,15.1296,15.4351,4,2,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,1
-18.7221,22.6343,23.3526,4,3,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,2
-24.7764,29.8788,30.9873,4,4,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,3
-30.8215,37.1309,38.622,4,5,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,4
-37.0809,44.6597,46.5395,4,6,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,5
-43.3303,52.1966,54.457,4,7,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,6
-49.5699,59.7418,62.3745,4,8,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,7
-55.7996,67.2951,70.2919,4,9,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,8
-62.0194,74.8566,78.2094,4,10,T0,2.2715,0.7394,1,86.9332,-0.2248,-0.3998,9
5.3409,-7.8715,-7.8932,10,1,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,10
11.4717,-15.9989,-16.7457,10,2,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,11
17.2071,-23.5744,-25.008,10,3,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,12
23.3664,-31.6801,-33.8605,10,4,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,13
29.1284,-39.2354,-42.1227,10,5,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,14
34.9032,-46.7809,-50.385,10,6,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,15
41.1046,-54.8545,-59.2375,10,7,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,16
46.9059,-62.3796,-67.4998,10,8,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,17
52.7199,-69.895,-75.7621,10,9,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,18
58.9633,-77.9361,-84.6146,10,10,T1,-0.9271,-0.7861,-1,65.1602,-0.4598,0.3691,19
9.0905,3.6692,22.1732,0,1,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,20
17.9354,7.4524,43.9796,0,2,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,21
26.9408,11.322,66.1975,0,3,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,22
35.9396,15.2068,88.4153,0,4,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,23
44.9318,19.1068,110.6331,0,5,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,24
53.9174,23.022,132.851,0,6,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,25
62.7303,26.8793,154.6574,0,7,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,26
71.7028,30.8245,176.8752,0,8,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,27
80.6686,34.7848,199.0931,0,9,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,28
89.6277,38.7602,221.3109,0,10,T2,0.4017,1.5569,-1,67.58,-0.185,-0.0446,29
6.7131,6.9254,51.7573,1,1,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,30
13.2408,14.1321,103.9234,1,2,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,31
19.6892,21.2992,155.6474,1,3,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,32
26.1139,28.4877,207.3715,1,4,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,33
32.5692,35.7592,259.5376,1,5,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,34
39.0002,43.0522,311.7037,1,6,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,35
45.2983,50.2426,362.9857,1,7,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,36
51.6807,57.5782,415.1518,1,8,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,37
58.0385,64.9352,467.3179,1,9,T3,0.8298,2.3816,-1,33.7761,-0.2941,0.0332,38
